translationId,countryCode,continentCode
spav1602p,ES,EU
dikNT,SD,AF
jum,SD,AF
xtc,SD,AF
lro,SD,AF
lmd,SD,AF
shj,SD,AF
udu,SD,AF
djkNT,SR,SA
hnsNT,SR,SA
jvnNT,SR,SA
srmNT,SR,SA
srnNT,SR,SA
swef,SE,EU
swe,SE,EU
swessb,SE,EU
tgk,TJ,AS
bou,TZ,AF
bds,TZ,AF
ikz,TZ,AF
isn,TZ,AF
reg,TZ,AF
zgam,TZ,AF
kiz,TZ,AF
zajp,TZ,AF
kdc,TZ,AF
kdc2014,TZ,AF
cwe,TZ,AF
ruf,TZ,AF
mgq,TZ,AF
mgv,TZ,AF
mgw,TZ,AF
mpa,TZ,AF
mwe,TZ,AF
ndh,TZ,AF
ndj,TZ,AF
dne,TZ,AF
ndg,TZ,AF
njd,TZ,AF
nww,TZ,AF
nnq,TZ,AF
xnj,TZ,AF
ngp,TZ,AF
nyy,TZ,AF
poy,TZ,AF
lag,TZ,AF
sbk,TZ,AF
swh1850,TZ,AF
swhonmm,TZ,AF
swhulb,TZ,AF
vid,TZ,AF
wbi,TZ,AF
zak,TZ,AF
zaj,TZ,AF
ziw,TZ,AF
zin,TZ,AF
lcp,TH,AS
thantv,TH,AS
thaKJV,TH,AS
nod,TH,AS
bkx,TL,AS
tdt,TL,AS
gngNT,TG,AF
kdh,TG,AF
num,TO,OC
ton,TO,OC
aeu,TN,AF
aeb,TN,AF
turobt,TR,EU
turytc,TR,EU
luc,UG,AF
rub,UG,AF
gwr,UG,AF
lug,UG,AF
nuj,UG,AF
tlj,UG,AF
lth,UG,AF
rmyvlakh,UA,EU
rmylovari,UA,EU
rmn,UA,EU
rmczrb,UA,EU
rmyservi,UA,EU
ukr1871,UA,EU
ukr1996,UA,EU
ukrfb,UA,EU
ukronpu,UA,EU
engamp,GB,EU
engaoi,GB,EU
engBBE,GB,EU
eng-Brenton,GB,EU
eng-uk-lxx2012,GB,EU
engDBY,GB,EU
engDRA,GB,EU
engemtv,GB,EU
engwyc2018,GB,EU
engwyc2017,GB,EU
enggnv,GB,EU
eng-kjv2006,GB,EU
eng-kjv,GB,EU
engkjvcpb,GB,EU
englee,GB,EU
engnoy,GB,EU
engoebcw,GB,EU
eng-rv,GB,EU
engoke,GB,EU
engojb,GB,EU
engtnt,GB,EU
engwebpb,GB,EU
eng-webbe,GB,EU
engwmbb,GB,EU
engWycliffe,GB,EU
engylt,GB,EU
apwNT,US,NA
arp,US,NA
eng-asv,US,NA
engasvbt,US,NA
enge2t,US,NA
englsv,US,NA
eng-glw,US,NA
eng-lxx2012,US,NA
engmsb,US,NA
engnasb,US,NA
engnet,US,NA
engourb,US,NA
engoebus,US,NA
engtcent,US,NA
eng-t4t,US,NA
engULB,US,NA
engwebster,US,NA
engwebp,US,NA
eng-web-c,US,NA
eng-web,US,NA
engwebu,US,NA
engwmb,US,NA
gwiNT,US,NA
hwc,US,NA
haw1868,US,NA
hopNT,US,NA
paoNT,US,NA
pdc,US,NA
gulNT,US,NA
tew,US,NA
oodNT,US,NA
engerv,US,NA
engbsb,US,NA
enggw,US,NA
engf35,US,NA
engfbv,US,NA
engjps,US,NA
englxxup,US,NA
eskNT,US,NA
omb,VU,OC
tvk,VU,OC
app,VU,OC
bki,VU,OC
lww,VU,OC
klv,VU,OC
tnk,VU,OC
tnn,VU,OC
pma,VU,OC
nwi,VU,OC
tgp,VU,OC
upv,VU,OC
tnp,VU,OC
latVUC,VA,EU
car,VE,SA
cmo,VN,AS
cmok,VN,AS
cje,VN,AS
hrebt,VN,AS
hre,VN,AS
blt,VN,AS
vieovcb,VN,AS
vie1934,VN,AS
vie2011,VN,AS
bwc,ZM,AF
lyn,ZM,AF
sby,ZM,AF
sna,ZW,AF
dov,ZW,AF
nde,ZW,AF
